City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Sisimiut,GL,66.9395,-53.6735,27.01,43,0,19.53,clear sky
352,Bambanglipuro,ID,-7.95,110.2833,83.68,67,73,2.93,broken clouds
353,Qandala,SO,11.472,49.8728,83.46,50,7,1.28,clear sky
354,Bull Savanna,JM,17.8868,-77.5902,78.17,80,100,3.11,overcast clouds
355,Broken Hill,AU,-31.95,141.4333,76.71,20,6,9.22,clear sky
356,Nelson Bay,AU,-32.7167,152.15,76.77,55,100,5.06,overcast clouds
357,Ust-Kuyga,RU,70.0167,135.6,-4.56,100,96,5.86,overcast clouds
358,Santa Cruz Del Sur,CU,20.7147,-77.9956,77.5,84,90,8.95,overcast clouds
359,Denia,ES,38.8408,0.1057,67.53,81,98,1.99,overcast clouds
360,Valley City,US,46.9233,-98.0032,59.99,62,1,6.91,clear sky
361,Talara,PE,-4.5772,-81.2719,64.96,90,98,13.0,overcast clouds
362,Havre,FR,49.5833,0.3333,49.77,81,0,4.61,clear sky
363,Ngunguru,NZ,-35.6167,174.5,74.16,63,2,8.46,clear sky
364,Luxor,EG,25.6989,32.6421,73.45,27,0,2.3,clear sky
365,Chuy,UY,-33.6971,-53.4616,50.81,74,13,6.55,few clouds
366,Xuddur,SO,4.1213,43.8894,71.53,82,56,9.82,broken clouds
367,Kokkola,FI,63.8385,23.1307,40.93,83,40,5.99,scattered clouds
368,Pedro Carbo,EC,-1.8333,-80.2333,76.48,71,98,5.93,overcast clouds
369,Cayenne,GF,4.9333,-52.3333,82.09,84,13,3.0,few clouds
370,Tombouctou,ML,20.0,-3.0,80.89,15,80,11.27,broken clouds
371,Viedma,AR,-40.8135,-62.9967,47.77,68,0,4.45,clear sky
372,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,90,6.91,overcast clouds
373,Adre,TD,13.4667,22.2,76.17,29,27,7.18,scattered clouds
374,Sarkand,KZ,45.41,79.9186,44.24,27,0,4.43,clear sky
375,Belyy Yar,RU,53.6039,91.3903,17.49,100,90,0.0,fog
376,Dawson Creek,CA,55.7666,-120.2362,34.95,86,90,8.05,light snow
377,Copiague,US,40.6815,-73.3998,57.45,71,20,3.0,few clouds
378,Magistralnyy,RU,56.1725,107.4458,25.41,86,35,3.11,scattered clouds
379,Lishu,CN,43.3047,124.3278,44.1,57,5,7.45,clear sky
380,Hamilton,US,39.1834,-84.5333,57.72,70,1,1.01,clear sky
381,Lasa,IT,46.6166,10.7002,45.48,52,100,4.32,overcast clouds
382,Sibolga,ID,1.7427,98.7792,79.66,81,100,1.05,overcast clouds
383,Torbay,CA,47.6666,-52.7314,43.57,97,90,10.36,mist
384,Aracataca,CO,10.5918,-74.1898,77.09,84,100,3.78,overcast clouds
385,Luba,GQ,3.4568,8.5547,75.09,85,99,1.16,light rain
386,Seoul,KR,37.5683,126.9778,45.97,47,0,6.91,clear sky
387,Channel-Port Aux Basques,CA,47.5702,-59.1367,53.85,92,100,26.02,overcast clouds
388,Baykit,RU,61.67,96.37,32.13,97,93,2.24,overcast clouds
389,Itarema,BR,-2.9248,-39.9167,79.97,83,29,15.46,scattered clouds
390,Dakar,SN,14.6937,-17.4441,80.73,89,100,0.0,overcast clouds
391,Tuy Hoa,VN,13.0833,109.3,80.1,87,100,3.85,overcast clouds
392,San Quintin,MX,30.4833,-115.95,66.9,71,0,10.76,clear sky
393,Portland,US,45.5234,-122.6762,61.09,82,90,1.99,overcast clouds
394,Char Bhadrasan,BD,23.3167,90.2167,80.65,88,100,21.74,light rain
395,Kalaleh,IR,37.3807,55.4916,55.0,82,0,0.0,clear sky
396,Les Cayes,HT,18.2,-73.75,79.83,79,14,3.58,few clouds
397,Geraldton,AU,-28.7667,114.6,67.12,55,0,10.36,clear sky
398,Simbahan,PH,6.3032,120.5836,83.46,73,85,6.08,overcast clouds
399,Gravdal,NO,68.1214,13.5031,41.0,65,100,22.75,overcast clouds
400,Klishkivtsi,UA,48.4316,26.2623,42.67,79,43,2.75,scattered clouds
401,Sur,OM,22.5667,59.5289,77.63,40,0,1.34,clear sky
402,Andenes,NO,69.3143,16.1194,37.38,70,75,20.71,broken clouds
403,Pirapozinho,BR,-22.2753,-51.5,71.08,78,0,9.22,clear sky
404,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,53,0,3.44,clear sky
405,Russell,US,32.3502,-85.1999,58.23,85,1,0.0,clear sky
406,Naze,JP,28.3667,129.4833,76.12,60,100,13.58,overcast clouds
407,Gonda,IN,27.1333,81.9333,75.15,93,100,14.92,overcast clouds
408,Filadelfia,US,39.9523,-75.1638,56.14,64,1,4.0,clear sky
409,Ornes,NO,66.8689,13.7078,41.11,83,100,9.19,overcast clouds
410,Salekhard,RU,66.53,66.6019,38.23,89,100,11.5,light rain
411,La Romana,DO,18.4273,-68.9728,82.76,89,40,0.0,scattered clouds
412,Acapulco,MX,16.8634,-99.8901,81.21,84,54,6.62,broken clouds
413,Lamu,KE,-2.2717,40.902,77.22,82,94,12.8,overcast clouds
414,Birao,CF,10.2849,22.7882,74.77,79,98,3.13,overcast clouds
415,Sinnamary,GF,5.3833,-52.95,79.36,88,65,7.87,broken clouds
416,Richards Bay,ZA,-28.783,32.0377,59.68,87,100,14.7,moderate rain
417,San Pedro,PH,14.35,121.0167,83.35,89,75,6.91,broken clouds
418,Isangel,VU,-19.55,169.2667,82.51,78,90,5.75,overcast clouds
419,Kefamenanu,ID,-9.4467,124.4781,87.46,51,100,4.18,overcast clouds
420,Salinas,US,36.6777,-121.6555,64.22,73,90,14.97,overcast clouds
421,Cairns,AU,-16.9167,145.7667,95.95,62,23,8.05,few clouds
422,Oakdale,US,44.963,-92.9649,60.21,65,1,4.61,clear sky
423,Laurel,US,39.0993,-76.8483,57.72,63,1,1.99,clear sky
424,Port Blair,IN,11.6667,92.75,80.64,89,75,2.3,broken clouds
425,Houma,US,29.5958,-90.7195,71.6,69,100,6.51,overcast clouds
426,Egvekinot,RU,66.3167,-179.1667,17.8,74,100,3.8,overcast clouds
427,Vardo,NO,70.3705,31.1107,36.82,85,100,34.9,overcast clouds
428,Asfi,MA,32.2994,-9.2372,68.56,61,100,9.93,overcast clouds
429,Dhidhdhoo,MV,6.8833,73.1,82.49,74,100,17.83,overcast clouds
430,Iqaluit,CA,63.7506,-68.5145,33.53,86,75,18.01,broken clouds
431,Maicao,CO,11.3832,-72.2432,77.61,88,13,7.94,few clouds
432,Werda,BW,-25.2667,23.2833,52.47,16,0,12.59,clear sky
433,Annau,TM,37.8876,58.516,47.7,40,0,4.61,clear sky
434,Manaus,BR,-3.1019,-60.025,77.49,88,20,3.44,light rain
435,Bar Harbor,US,44.3876,-68.2039,55.02,76,90,8.01,overcast clouds
436,Meaford,CA,44.6001,-80.583,52.12,90,17,18.23,few clouds
437,Timizart,DZ,36.8,4.2667,60.31,70,55,4.45,broken clouds
438,Vatne,NO,62.5667,6.65,33.22,95,18,5.97,light snow
439,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.6,89,37,2.77,scattered clouds
440,Barao De Cocais,BR,-19.9458,-43.4872,72.55,98,56,3.38,broken clouds
441,Llangefni,GB,53.2556,-4.3106,58.73,91,40,19.57,scattered clouds
442,Aykhal,RU,66.0,111.5,32.2,97,100,21.7,light snow
443,Shimoda,JP,34.6667,138.95,61.16,61,8,20.09,clear sky
444,Kodinsk,RU,58.6881,99.1844,29.41,91,20,3.36,few clouds
445,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,11.5,few clouds
446,Josanicka Banja,RS,43.3895,20.7503,38.73,95,6,1.48,light rain
447,Bubaque,GW,11.2833,-15.8333,80.62,73,99,9.42,overcast clouds
448,Tautira,PF,-17.7333,-149.15,84.22,77,91,22.75,overcast clouds
449,Ambilobe,MG,-13.2,49.05,71.1,72,1,5.37,clear sky
